ID,SMILES
CHEMBL4762508,CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1
CHEMBL4759512,CCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C
CHEMBL4751387,COC(=O)[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)NCc1cc(N(C)C)ccn1
CHEMBL4751357,CCOC(=O)C[C@@H]1C[C@@H](C(C)C)[C@H](CNC(=O)c2cncnc2)C=C1C
CHEMBL4750361,CC(C)(C)c1c(CC(N)=O)[nH]c2ccc(Cl)cc12
CHEMBL4749343,CCN(CC)c1ccnc(CNCCSC(c2ccccc2)(c2ccccc2)c2ccccc2)c1
CHEMBL4744968,CCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4743384,c1ccc(C(SCCNCc2ccccn2)(c2ccccc2)c2ccccc2)cc1
CHEMBL4741089,CCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C
CHEMBL471905,O=C1Oc2ccc3ccccc3c2CC1C(=O)c1ccc(Cl)cc1
CHEMBL471730,Cc1cccc(C(=O)C2Cc3c(ccc4ccccc34)OC2=O)c1
CHEMBL471729,Cc1ccccc1C(=O)C1Cc2c(ccc3ccccc23)OC1=O
CHEMBL466960,CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3ccc(C(F)(F)F)cc3)n2)cc1
CHEMBL4649073,CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]cn2)NC(C)=O)Cc2ccc(cc2)OCCCCCCCCCCNC1=O
CHEMBL4645240,CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]cn2)NC(C)=O)Cc2ccc(cc2)OCCCCCCCNC1=O
CHEMBL4645055,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N1)C(N)=O
