,ID,SMILES,Model 1: SIRT2 inhibitory activity,"Probability of Model 1 ""Yes"" class prediction"
48,108632,O=C(Nn1cnnc1)C(Sc1ccccc1)c1ccccc1,No,0.43024240585336887
49,108633,COc1cccc(-c2cc(C(=O)NC3CCCC3)c3ccccc3n2)c1,No,0.43802968560307376
50,108634,CCc1ccccc1NC(=O)c1cc(-c2ccc(C)s2)nc2ccccc12,No,0.4012767792912638
51,108635,c1csc(CNn2cnnc2)c1,No,0.2841945825226673
52,108636,CCC(C)c1ccc(NC(=O)c2nn(C)cc2Br)cc1,No,0.43525275349235587
53,108637,COC(=O)c1c(NC(=O)/C=C/c2c(F)cccc2Cl)sc2c1CCCCCC2,No,0.39415532896438343
54,108638,COC(=O)c1ccccc1NC(=O)c1cc(-c2ccc(C)c(C)c2)nc2ccccc12,No,0.3396531995452175
55,108639,COc1ccc(C(=O)Nc2ccc3oc(-c4cccc5c(Br)cccc45)nc3c2)cc1Br,No,0.41655634368686933
56,108640,Cc1csc(NC(=O)c2cc(-c3ccc(Br)cc3)nc3ccccc23)n1,No,0.28986592820342005
57,108641,CCc1ccc(/N=C2\S/C(=C\c3c(OC)ccc4ccccc34)C(=O)N2c2ccc(CC)cc2)cc1,Yes,0.5083140496504199
58,108642,CCOC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCCCCC2,No,0.4243243875614855
59,108643,CCOC(=O)c1c(NC(=O)c2cc(-c3cccc(C)c3)nc3ccccc23)sc2c1CCCCC2,No,0.47365524846231266
60,108644,CC(C)Oc1ccc(Br)cc1/C=c1\sc2nc3ccccc3n2c1=O,No,0.4098884713639901
61,108645,Cc1sc(NC(=O)c2ccc(Cl)cc2)c(C(=O)OC(C)C)c1C,No,0.2607082547011339
62,108646,CCc1c(C)sc(NC(=O)c2cccc(Cl)c2)c1C(=O)OC(C)C,No,0.29778349810842214
63,108647,Cc1ccccc1-c1nc2cc(NC(=O)c3cccc4c(Br)cccc34)ccc2o1,No,0.30334139517836156
64,108648,CCc1c(C)sc(NC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)c1C(=O)OC(C)C,No,0.38452383871982343
65,108649,COc1ccc(CCC(=O)Nc2ccc(C(C)C)cc2)cc1,No,0.30455267626981974
66,108650,O=C(Nc1cccc2ccccc12)C1CC1,No,0.2743082376731729
67,108651,CCc1ccc(-c2cc(C(=O)Nc3nc4ccc(C)cc4s3)c3ccccc3n2)cc1,No,0.39973029274995686
68,108652,CCCOC(=O)c1ccc(NC(=O)c2cc(OCC)c(OCC)c(OCC)c2)cc1,No,0.31883270533091923
69,108653,O=C(Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1cccnc1Cl,No,0.31045898693159624
70,108654,CCc1ccc(/N=C2\S/C(=C\c3cccc(OC)c3O)C(=O)N2c2ccc(CC)cc2)cc1,Yes,0.530926581542918
71,108655,O=S(=O)(Nc1nnc[nH]1)c1cccc2cccnc12,No,0.34121284896299325
72,108656,CCOC(=O)c1c(NC(=O)/C=C/c2cccs2)sc2c1CCCCC2,No,0.4216173807442218
73,108657,COc1ccc(-c2cc(C(=O)N(Cc3ccccc3)Cc3ccccc3)c3ccccc3n2)cc1OC,No,0.3900221374320424
74,108658,CCOC(=O)c1c(NC(=O)c2cc(-c3ccc(C)cc3)nc3ccccc23)sc(C)c1C,No,0.39228417787229375
75,108659,Cc1ccccc1-c1cc(C(=O)N2C(C)CCCC2C)c2ccccc2n1,No,0.3293209096326756
76,108660,Cc1ccc(NC(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)cc1,No,0.3184734643370995
77,108661,Cc1ccc(-c2cc(C(=O)Nc3ccccc3C)c3ccccc3n2)c(C)c1,No,0.35679975220931764
78,108662,N=C1NC(=O)/C(=C/c2c(F)cccc2Cl)S1,No,0.4445042220565444
79,108663,CCc1c(C)sc(NC(=O)c2cc(-c3ccc(C)s3)nc3ccccc23)c1C(=O)OC(C)C,No,0.44966118608260514
80,108664,CCCCCCCC(=O)Nc1nc(-c2ccccc2)c(C)s1,No,0.27592238543443304
81,108665,O=C(Nc1nc(-c2ccc(Cl)cc2Cl)cs1)c1ccc(Cl)c(Cl)c1,No,0.2271995374599537
82,108666,NC(=O)c1c(NC(=O)C2CCCCC2C(=O)O)sc2c1CCCCC2,No,0.49646074224705256
83,108667,COc1cc(C(c2c(C)n(C)n(-c3ccccc3)c2=O)c2c(C)n(C)n(-c3ccccc3)c2=O)ccc1OCc1ccccc1,Yes,0.5936149342625848
84,108668,CCOC(=O)c1c(NC(=O)c2cc(Cl)ccc2OC)sc2c1CCCCC2,No,0.4040655633595274
85,108669,CCCCCNC(=O)c1c(-c2ccccc2)noc1C,No,0.2713578667535431
86,108670,COc1ccc(-c2cc(C(=O)Nc3sc4c(c3C(N)=O)CCCCCC4)c3ccccc3n2)cc1OC,No,0.4656335591923199
87,108671,CCc1ccc(-c2cc(C(=O)Nc3ccccc3C(C)C)c3ccccc3n2)cc1,No,0.4458409036016579
88,108672,Cc1nc(SCC(=O)c2ccc(C(=O)CSc3nc(C)c(C)c(C)c3C#N)cc2)c(C#N)c(C)c1C,No,0.25988055838757834
89,108673,CCc1ccc(/N=C2\S/C(=C\c3cc(Cl)cc(Br)c3O)C(=O)N2c2ccc(CC)cc2)cc1,Yes,0.5245581149491703
90,108674,Cc1ccccc1-c1cc(C(=O)Nn2cnnc2)c2ccccc2n1,No,0.3585835633154067
91,108675,CCOC(=O)c1c(NC(=O)c2ccccc2OC)sc2c1CCCCCC2,No,0.40251061622280093
92,108676,CCSc1nnc(NC(=O)CCC2CCCCC2)s1,No,0.40409646347169653
93,108677,CCc1ccccc1NC(=O)c1cc(-c2ccccc2)nc2ccccc12,No,0.3340809676779379
94,108678,Cc1ccc(Cl)cc1NC(=O)C(Sc1ccccc1)c1ccccc1,No,0.4738487585997878
95,108679,O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1cc(Cl)ccc1Cl,Yes,0.526891316400169
96,108680,Cc1ccccc1/N=C1\S/C(=C\c2ccco2)C(=O)N1c1ccccc1C,No,0.4379303663814065
97,108681,CCc1ccc(/N=C2\S/C(=C\c3ccc(OC)c(OC)c3OC)C(=O)N2c2ccc(CC)cc2)cc1,No,0.48604597337113353
98,108682,COc1ccc(-c2nc3ccccc3c(C(=O)N(Cc3ccccc3)Cc3ccccc3)c2C)cc1,No,0.3592828811083567
99,108683,CCc1ccc(/N=C2\S/C(=C\c3cccc(O)c3)C(=O)N2c2ccc(CC)cc2)cc1,No,0.49250132146046915
100,108684,Cc1ccc(Cl)cc1NC(=O)c1cnccn1,No,0.41916426308637666
101,108685,O=C(Nc1ccc2oc(-c3cccc4c(Br)cccc34)nc2c1)c1ccc(Cl)cc1Cl,No,0.26234883670827974
102,108686,COc1cccc(-c2cc(C(=O)NCCc3ccccc3)c3ccccc3n2)c1,No,0.3748181320113746
103,108687,CCOC(=O)c1c(NC(=O)C2C3C=CC(C3)C2C(=O)O)sc(C)c1CC,No,0.444380755389912
104,108688,COc1cccc(-c2cc(C(=O)N3CCN(C(c4ccccc4)c4ccccc4)CC3)c3ccccc3n2)c1,No,0.4137391882075897
105,108689,CCOC(=O)c1c(NC(=O)c2cc(-c3ccc(OCC)cc3)nc3ccccc23)sc2c1CCCCCC2,Yes,0.5260508636089536
106,108690,CCCOC(=O)c1c(NC(=O)/C=C/c2cccc([N+](=O)[O-])c2)sc2c1CCC(C)C2,Yes,0.5126699711003642
107,108691,CCC(C)(C)C1CCc2c(sc(NC(=O)c3ccc4c(c3)OCO4)c2C#N)C1,No,0.46450982291790344
108,108692,COc1ccc(CCC(=O)NCC2CCCO2)cc1,No,0.30857648733583665
109,108693,CCOC(=O)c1c(NC(=O)C(C)Oc2ccc(Cl)cc2C)sc2c1CCC(CC)C2,Yes,0.5479828244209343
110,108694,O=C(CCC1CCCC1)N1CCN(Cc2ccccc2)CC1,No,0.3943477592083078
111,108695,CCOC(=O)c1c(NC(=O)/C=C/c2cccc([N+](=O)[O-])c2)sc2c1CCC(C)C2,Yes,0.507865809983703
112,108696,Cc1cc2nc(-c3cc(NC(=O)c4cccc(I)c4)ccc3Cl)oc2cc1C,No,0.3551090024560521
113,108697,CC(=O)Nc1sc2c(c1C(=O)OC(C)C)CCCC2,No,0.3407540392939937
114,108698,CCOc1ccccc1N1CCN(C(=O)c2c(OC)cccc2OC)CC1,No,0.39174752669852175
115,108699,CCC(C)(C)C1CCc2c(sc(NC(=O)/C=C/c3ccc(OC)c(OC)c3)c2C(N)=O)C1,Yes,0.5489943541138896
116,108700,Cc1ccccc1/N=C1\S/C(=C\c2cc(Br)ccc2OCC(=O)O)C(=O)N1c1ccccc1C,No,0.48120216984677117
117,108701,COc1ccc(C)cc1NC(=O)c1cccnc1Cl,No,0.2972216500342572
118,108702,CCOC(=O)c1c(NC(=O)C(CC)Oc2ccccc2)sc(C)c1CC,No,0.4574081307372059
119,108703,COc1cc(/C=C2/N=C(c3ccccc3F)OC2=O)cc(I)c1OC,Yes,0.500300354549281
120,108704,CCOC(=O)Nc1nc2ccccc2s1,No,0.3372390309342918
121,108705,COc1ccccc1N1CCN(C(=O)C(Sc2ccccc2)c2ccccc2)CC1,No,0.4891339311360704
122,108706,CCCOc1ccc(N2C(=O)CC(SC(=NCC)Nc3ccc4c(c3)OCO4)C2=O)cc1,Yes,0.5566317861168968
123,108707,Cc1cc(C)c2c(c1)/C(=C1/S/C(=N\c3ccccc3C)N(c3ccccc3C)C1=O)C(=O)N2,Yes,0.551300692667892
124,108708,CCOC(=O)Nc1sc2c(c1C(=O)OC(C)C)CCC(C)C2,No,0.43369679630740987
125,108709,O=C(/C=C/c1cccs1)Nc1nc(-c2ccc(F)cc2)cs1,No,0.33684161821230973
126,108710,Cc1sc(NC(=O)/C=C/c2ccc(C(C)(C)C)cc2)c(C(N)=O)c1C,No,0.410872018910795
127,108711,CCOC(=O)c1c(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)sc2c1CCC(C(C)(C)C)C2,Yes,0.5009976516473338
128,108712,CCCCSc1nc2c(c(=O)n1C1CCCC1)C1(CCCC1)Cc1ccccc1-2,No,0.4564326317988548
129,108713,CCc1c(C)sc(NC(=O)/C=C/c2ccc(Br)cc2)c1C(=O)OC(C)C,No,0.40371431399053237
130,108714,CN1CCN(NC(=O)COc2ccc(Cl)cc2)CC1,No,0.37417594816761635
